total_lines_cleared,max_score,decision_latency,game_duration,apm
26,2600,7.037092810091765,0.010851542154947916,36400.35622217014
54,5400,7.038541896614486,0.019703245162963866,36186.93236077802
22,2200,7.10035441966539,0.010593485832214356,37759.05366141298
63,6300,7.030325966912347,0.021798857053120933,35231.20492640901
153,15300,7.113189425434466,0.05020413796106974,36192.23581548145
63,6300,6.955975455206794,0.02156757911046346,35609.00349856172
28,2800,6.937187451582688,0.012092987696329752,37542.41808563073
51,5100,6.943657994270325,0.018623932202657064,36726.93782156349
162,16200,7.078095113850075,0.051982287565867105,36954.89540674577
13,1300,6.773535885027985,0.007604833443959554,39711.58635168739
131,13100,7.044473164518115,0.04192392031351725,36470.825928628976
65,6500,7.2272243895061274,0.023384475708007814,35237.05257663007
13,1300,6.7616505409354595,0.007593321800231934,39771.78999456807
191,19100,7.027793884277344,0.05890700817108154,36752.842611056854
65,6500,6.922378441212708,0.0223954439163208,37775.54055909885
110,11000,6.90826889756438,0.03565906286239624,37185.49769849152
60,6000,6.948316953458838,0.021078880627950033,36719.21738451788
86,8600,7.065965283301569,0.02938075065612793,37099.12019462509
13,1300,6.746637287424572,0.007574248313903809,39871.94339082178
0,0,6.988823413848877,0.003279451529184977,35676.697447355575
86,8600,7.081629768494637,0.02944653034210205,37016.24562679088
157,15700,7.025718129296818,0.05017986297607422,37644.58266657037
6,600,7.089387538821199,0.005109564463297526,33075.226120336214
181,18100,7.055320778911363,0.057598447799682616,36615.57004686542
54,5400,6.999244233091434,0.019591196378072103,36393.897863125996
96,9600,7.144455540224195,0.03246082464853923,36567.15480435018
