total_lines_cleared,max_score,decision_latency,game_duration,apm
54,5400,7.329935218855652,0.021044198671976724,35354.16157188914
8,800,6.841278076171875,0.006315477689107259,38476.89944643759
166,16600,7.170720100402832,0.054156482219696045,36431.46524909338
191,19100,7.317246437072754,0.06143707434336344,36248.470875315455
125,12500,7.334563739138964,0.041994925340016684,34837.54258769731
164,16400,7.328408806493135,0.053767224152882896,35672.289767950766
64,6400,7.406850865012721,0.023628878593444824,35507.39814765299
60,6000,7.128098823504741,0.021416306495666504,37541.487378446225
96,9600,7.11065508619117,0.032096576690673825,37387.164729897166
6,600,7.071313650711723,0.005458529790242513,33159.111877258525
195,19500,7.379065990447998,0.06194872458775838,35012.82737350518
136,13600,7.160553906826263,0.045196251074473066,37525.236268056404
14,1400,7.124686241149902,0.008370471000671387,36079.212266045346
31,3100,7.151876796375621,0.013202881813049317,36885.88649779962
50,5000,7.097382454355811,0.018697873751322428,36046.879391959235
194,19400,7.216418266296387,0.060570824146270755,36420.17474737992
79,7900,7.269681018331776,0.02807686726252238,34939.795484571754
33,3300,7.156723424008018,0.013697803020477295,36867.22602486391
11,1100,7.468567444727971,0.0065211256345113116,30209.508456244155
36,3600,7.1840110372324455,0.014708964029947917,35080.648708461566
125,12500,7.356552084869653,0.042115382353464764,34737.901409071295
83,8300,7.36407284096722,0.02856683333714803,35775.75392898033
49,4900,7.038714029850104,0.018425238132476807,36308.89300805307
54,5400,7.171800959179973,0.020586276054382326,36140.58210599096
196,19600,7.25684118270874,0.0609158714612325,35951.22170079663
48,4800,7.144357264041901,0.019183707237243653,36176.53206532749
19,1900,6.795445610495174,0.009690320491790772,39936.759607471184
141,14100,7.128745624699543,0.04641597668329875,36496.0541832039
74,7400,7.198765737201096,0.026341597239176433,35077.59957037779
36,3600,7.16490237439265,0.014670467376708985,35172.703551299805
41,4100,7.321146197785112,0.016346291700998942,33952.654837676935
24,2400,6.968746687236585,0.011110242207845051,38703.02662676181
89,8900,7.121918693421379,0.030124910672505698,36116.289665648444
111,11100,7.944474681731193,0.041385682423909505,32547.487950127546
197,19700,7.578725337982178,0.06365776062011719,34371.30019475656
196,19600,7.387829780578613,0.062025745709737144,35243.4295627796
196,19600,7.27016544342041,0.06102785666783651,35885.25174527709
135,13500,7.235183586945405,0.04494509696960449,36066.22544604256
55,5500,7.948380464698836,0.022837714354197184,33365.86088178116
76,7600,7.541130074357564,0.02863176663716634,35031.02035967369
123,12300,7.86998158409482,0.04442298412322998,32843.35865309529
11,1100,7.075163356044836,0.006768222649892171,35755.32492328033
197,19700,7.224585056304932,0.06063422362009684,36299.63193377959
74,7400,7.240412432119387,0.026492885748545327,34877.28776585748
101,10100,7.187851688318085,0.034390000502268474,36347.77498527649
23,2300,7.4210405349731445,0.011210699876149496,32825.78287399447
36,3600,7.186414765529945,0.014714455604553223,35067.55627712992
35,3500,7.190197952522719,0.014602951208750407,34171.17491298528
39,3900,7.22145102918148,0.015515851974487304,34803.11625091045
24,2400,6.937488756681743,0.011060082912445068,38878.551219191475
49,4900,7.0565266486925955,0.018473347028096516,36214.33619920111
14,1400,7.430240086146763,0.008732350667317708,34584.044034132276
76,7600,7.273000953471766,0.02760001023610433,36340.56623239756
35,3500,8.84821592283643,0.018006022771199545,27712.94951365637
11,1100,11.492623732640194,0.010062456130981445,19577.725103660705
136,13600,8.33215485227869,0.052679165204366045,32194.89134690076
191,19100,7.442567825317383,0.06251096328099569,35625.750798133085
54,5400,7.400617264864738,0.021248292922973634,35014.57753321858
195,19500,7.35529088973999,0.061757222811381025,35963.40474673514
11,1100,6.863199174404144,0.007368731498718262,38541.23332481307
92,9200,7.198175394310142,0.03201772769292196,36042.53278270933
82,8200,7.2350722401082015,0.028899375597635904,35571.702804682565
194,19400,7.310136795043945,0.061365775267283124,35948.376605552614
105,10500,7.271990484120894,0.03589033683141073,35246.25600317268
167,16700,7.307187486066584,0.0550872008005778,35943.013462743096
